CLIENT INDUSTRY,CLIENT OTHER INDUSTRY,CLIENT NAME
FINANCIAL / BANKING,,"Baker Tilly Virchow Krause, LLP"
FINANCIAL / BANKING,,Bank of America
FINANCIAL / BANKING,,Bank of America Corporation
FINANCIAL / BANKING,,Bank of America NA
FINANCIAL / BANKING,,"Bank of America, N.A."
FINANCIAL / BANKING,,Barclays Capital Inc
FINANCIAL / BANKING,,Barclays Capital Inc.
FINANCIAL / BANKING,,"Barclays Capital, Inc."
FINANCIAL / BANKING,,Barr Management
FINANCIAL / BANKING,,"Blaylock Robert Van, LLC"
FINANCIAL / BANKING,,BMO Capital Markets GKST
FINANCIAL / BANKING,,BMO Harris Bank NA
FINANCIAL / BANKING,,BNY Mellon
FINANCIAL / BANKING,,Bridgeview Bank & Trust
FINANCIAL / BANKING,,"Building Blocks Investments, LLC"
FINANCIAL / BANKING,,Byline Bank
FINANCIAL / BANKING,,"Cabrera Capital Markets, LLC"
FINANCIAL / BANKING,,Cash America International
FINANCIAL / BANKING,,Chicago Community Bank
FINANCIAL / BANKING,,Chicago Neighborhood Initiatives
FINANCIAL / BANKING,,Chicago Park District
FINANCIAL / BANKING,,Chicago Public Schools
FINANCIAL / BANKING,,Chicago Transit Authority
FINANCIAL / BANKING,,"Citibank, NA"
FINANCIAL / BANKING,,"Citibank, N.A."
FINANCIAL / BANKING,,Citigroup Global Markets Inc.
FINANCIAL / BANKING,,Citigroup Management Corporation
FINANCIAL / BANKING,,City Colleges of Chicago
FINANCIAL / BANKING,,City of Chicago
FINANCIAL / BANKING,,"Columbia Capital Management, LLC"
FINANCIAL / BANKING,,Community Bankers Association of Illinois
FINANCIAL / BANKING,,"COMMUNITY CURRENCY EXCHANGE ASSN OF IL, INC"
FINANCIAL / BANKING,,Corporation Counsel's Office
FINANCIAL / BANKING,,Credit Suisse Asset Management LLC
FINANCIAL / BANKING,,Dell
FINANCIAL / BANKING,,Deloitte Consulting LLP
FINANCIAL / BANKING,,"Devon NJ, LLC"
FINANCIAL / BANKING,,DRW Trading Group
FINANCIAL / BANKING,,Dynasty Group
FINANCIAL / BANKING,,Emso Asset Management US LLC 
FINANCIAL / BANKING,,EMSO Partners Limited
FINANCIAL / BANKING,,Emso Partners US LLC 
FINANCIAL / BANKING,,EMSO Partners US LLC 
FINANCIAL / BANKING,,"Estrada Hinojosa & Company, Inc"
FINANCIAL / BANKING,,"Estrada Hinojosa & Company, Inc."
FINANCIAL / BANKING,,FCO Advisors LP
FINANCIAL / BANKING,,"Fidelity Capital Markets, a division of National Financial Services LLC"
FINANCIAL / BANKING,,"Fidelity Investments Institutional Services Company, Inc"
FINANCIAL / BANKING,,Fifth Third Bank
FINANCIAL / BANKING,,First Equity Bank
FINANCIAL / BANKING,,First Southwest Company
FINANCIAL / BANKING,,"Future Environmental, Incorporated"
FINANCIAL / BANKING,,George K. Baum & Co.
FINANCIAL / BANKING,,george k. baum & company
FINANCIAL / BANKING,,george K. baum & company
FINANCIAL / BANKING,,George K. Baum& Company
FINANCIAL / BANKING,,Gold Coast Bank
FINANCIAL / BANKING,,"Goldman Sachs Asset Management, L.P."
FINANCIAL / BANKING,,"Goldman Sachs Asset Management, L.P. "
FINANCIAL / BANKING,,"Goldman, Sachs & Co"
FINANCIAL / BANKING,,"Goldman, Sachs & Co."
FINANCIAL / BANKING,,Harris & Harris
FINANCIAL / BANKING,,Harvestons Securities Inc
FINANCIAL / BANKING,,Hilltop Securities Inc.
FINANCIAL / BANKING,,ilBMO Harris Bank NA
FINANCIAL / BANKING,,Illinois Bankers Assoc.
FINANCIAL / BANKING,,Illinois Bankers Association
FINANCIAL / BANKING,,Illinois Collectors Association
FINANCIAL / BANKING,,Illinois Credit Union League
FINANCIAL / BANKING,,Incapital LLC
FINANCIAL / BANKING,,i Star Financial
FINANCIAL / BANKING,, Jackson Vaughn Public Strategies LLC
FINANCIAL / BANKING,,Janus Capital Management LLC
FINANCIAL / BANKING,,Jefferies LLC
FINANCIAL / BANKING,,"J.J.B. Hilliard, W.L. Lyons LLC"
FINANCIAL / BANKING,,J.P. Morgan Chase
FINANCIAL / BANKING,,JP Morgan Chase
FINANCIAL / BANKING,,"J.P. Morgan Chase Bank, NA"
FINANCIAL / BANKING,,"JP Morgan Chase Bank, NA"
FINANCIAL / BANKING,,"JPMorgan Chase Bank, National Association"
FINANCIAL / BANKING,,JP Morgan Chase & Co.
FINANCIAL / BANKING,,JPMorgan Chase & Co.
FINANCIAL / BANKING,,J.P. Morgan Securities LLC
FINANCIAL / BANKING,,JP Morgan Securities LLC
FINANCIAL / BANKING,,"KeyBanc Capital Markets, Inc"
FINANCIAL / BANKING,,KeyBank National Association
FINANCIAL / BANKING,,Kohlberg Kravis Roberts & Co
FINANCIAL / BANKING,,Kohlberg Kravis Roberts & Co. L.P.
FINANCIAL / BANKING,,KPMG Corporate Finance LLC
FINANCIAL / BANKING,,KPMG LLP
FINANCIAL / BANKING,,Lebenthal & Co LLC
FINANCIAL / BANKING,,Loop Capital Markets
FINANCIAL / BANKING,,"Macquarie Infrastructure and Real Assets, Inc"
FINANCIAL / BANKING,,Macquarie Infrastructure & Real Assets
FINANCIAL / BANKING,,"MB Financial Bank, N.A."
FINANCIAL / BANKING,,McGladrey LLP
FINANCIAL / BANKING,,"Merrill Lynch, Pierce, Fenner & Smith, Inc."
FINANCIAL / BANKING,,"Merrill Lynch, Pierce, Fenner, & Smith Inc."
FINANCIAL / BANKING,,"Mesirow Financial, Inc"
FINANCIAL / BANKING,,"Mesirow Financial, I nc."
FINANCIAL / BANKING,,"Mesirow Financial, Inc."
FINANCIAL / BANKING,,Middlefork Capital LLC
FINANCIAL / BANKING,,Morgan Stanley
FINANCIAL / BANKING,,Morgan Stanley  & Co. LLC
FINANCIAL / BANKING,,Morgan Stanley & Co. LLC
FINANCIAL / BANKING,,Morgan Stanley Infrastructure Inc.
FINANCIAL / BANKING,,Morgan Stanley Investment Management Inc.
FINANCIAL / BANKING,,"Morgan Stanley Investment Management, Inc"
FINANCIAL / BANKING,,Nationwide Insurance
FINANCIAL / BANKING,,North Community Bank
FINANCIAL / BANKING,,Northern Trust Corporation
FINANCIAL / BANKING,,Northern Trust Corporation 
FINANCIAL / BANKING,,Northleaf Capital Partners (Canada) Ltd
FINANCIAL / BANKING,,Oportun
FINANCIAL / BANKING,,Pan American Bank
FINANCIAL / BANKING,,"Pershing Square Capital Management, L.P."
FINANCIAL / BANKING,,Piper Jaffray & Co
FINANCIAL / BANKING,,PLS Financial Services
FINANCIAL / BANKING,,PNC Bank
FINANCIAL / BANKING,,"PNC Bank, National Association"
FINANCIAL / BANKING,,PNC Capital Markets LLC
FINANCIAL / BANKING,,PricewaterhouseCoopers
FINANCIAL / BANKING,,Private Bank
FINANCIAL / BANKING,,Pyramis Global Advisors Holdings Corp
FINANCIAL / BANKING,,Raymond James
FINANCIAL / BANKING,,"Raymond James & Assoc., Inc."
FINANCIAL / BANKING,,"RBC Capital Markets, LLC"
FINANCIAL / BANKING,,RBC Global Asset Management
FINANCIAL / BANKING,,"RBC Global Asset management, Inc"
FINANCIAL / BANKING,,RBC Global Asset Management (US) Inc
FINANCIAL / BANKING,,"RBS Americas, Citizens Financial Group"
FINANCIAL / BANKING,,Rice Financial Products Co.
FINANCIAL / BANKING,,Rice Financial Products Company
FINANCIAL / BANKING,,"RREEF AMERICA, LLC "
FINANCIAL / BANKING,,Russland Capital Group
FINANCIAL / BANKING,,"Samuel A Ramirez & Co., Inc."
FINANCIAL / BANKING,,Securities Industry and Financial Markets Association
FINANCIAL / BANKING,,"Securities Industry and Financial Markets Assoc., Inc."
FINANCIAL / BANKING,,"Siebert Brandford Shank & Co, LLC"
FINANCIAL / BANKING,,"Siebert Brandford Shank & Co., L.L.C."
FINANCIAL / BANKING,,"SomerCor 504, Inc"
FINANCIAL / BANKING,,Speedy Cash Holdings Corp.
FINANCIAL / BANKING,,Springbank
FINANCIAL / BANKING,,"Stifel, Nicolaus & Co., Inc."
FINANCIAL / BANKING,,"Sullivan, Sarah"
FINANCIAL / BANKING,,Sun Financial
FINANCIAL / BANKING,,The PrivateBank
FINANCIAL / BANKING,,The Private Bank
FINANCIAL / BANKING,,TIAA-CREF
FINANCIAL / BANKING,,TKG & Associates
FINANCIAL / BANKING,,TKG & Associates LLC
FINANCIAL / BANKING,,Troon & Company and Oliver Family Holdings I
FINANCIAL / BANKING,,Urban Partnership Bank
FINANCIAL / BANKING,,"U.S. Bancorp Investments, Inc."
FINANCIAL / BANKING,,"US Bancorp Investments, Inc"
FINANCIAL / BANKING,,"US Bancorp Investments, Inc."
FINANCIAL / BANKING,,U.S. Bank Municipal Securities Group
FINANCIAL / BANKING,,US Bank Municipal Securities Group
FINANCIAL / BANKING,,U.S. Bank National Association
FINANCIAL / BANKING,,"Wells Fargo Bank, N.A."
FINANCIAL / BANKING,,"Wells Fargo Securities, LLC"
FINANCIAL / BANKING,,William Blair
FINANCIAL / BANKING,,"William Blair & Co., LLC"
GOVERNMENTAL UNITS,,Chicago Board of Education
GOVERNMENTAL UNITS,,Chicago Housing Authority
GOVERNMENTAL UNITS,,Chicago Transit Authority
GOVERNMENTAL UNITS,,City of Chicago
GOVERNMENTAL UNITS,,City of Chicago 
GOVERNMENTAL UNITS,,DuPage County Water Commission
GOVERNMENTAL UNITS,,DuPage Water Commission 
GOVERNMENTAL UNITS,,Illinois Medical District
GOVERNMENTAL UNITS,,Metropolitan Pier and Exposition Authority
GOVERNMENTAL UNITS,,Metropolitan Pier & Expo Authority
GOVERNMENTAL UNITS,,Nixon Peabody LLP
GOVERNMENTAL UNITS,,Public Building Commission of Chicago
GOVERNMENTAL UNITS,,UTA II LLC
GOVERNMENTAL UNITS,,Village of Bensenville
HEALTH,,Access Community Health Network
HEALTH,,Chicago Ambulance Alliance
HEALTH,,Children's Memorial Hospital
HEALTH,,Columbus Park LLC
HEALTH,,CVS Caremark Corp
HEALTH,,Extend Health
HEALTH,,"Family Guidance Centers, Inc"
HEALTH,,"Gateway Foundation, Inc."
HEALTH,,Goldblatts Avondale
HEALTH,,Goldblatt's SLF LLC
HEALTH,,Loretto Hospital
HEALTH,,MedImmune
HEALTH,,Mercy Hospital and Medical Center
HEALTH,,Metropolitan Chicago Healthcare Council
HEALTH,,Mount Sinai Hospital and Medical Center
HEALTH,,Northwestern Memorial Hospital
HEALTH,,PCC Community Wellness Center
